product_name,brand,product_type,features,question,answer
Apple Tablet 7,Apple,Tablet,"Long battery life, Waterproof design, Large storage capacity",Is it waterproof?,It is waterproof.
Apple Smartwatch 3,Apple,Smartwatch,"Waterproof design, Ultra-thin body, Powerful processor",What is the battery life of this product?,It has a battery life of about 9 hours.
Dell Smartwatch 10,Dell,Smartwatch,"High-resolution display, Waterproof design",Is it waterproof?,It is not waterproof.
Dell Tablet 5,Dell,Tablet,"Powerful processor, Long battery life",Does it support fast charging?,It does support fast charging.
Dell Smartwatch 10,Dell,Smartwatch,"High-resolution display, Ultra-thin body",Is it waterproof?,It is not waterproof.
HP Tablet 9,HP,Tablet,"Large storage capacity, Powerful processor",What is the battery life of this product?,It has a battery life of about 20 hours.
Apple Laptop 7,Apple,Laptop,Long battery life,Is it waterproof?,It is not waterproof.
Lenovo Smartphone 10,Lenovo,Smartphone,"Large storage capacity, Powerful processor, High-resolution display",What is the storage capacity?,It has a storage capacity of 128GB.
Apple Smartwatch 7,Apple,Smartwatch,"Ultra-thin body, Large storage capacity",Is it waterproof?,It is not waterproof.
Dell Laptop 2,Dell,Laptop,Waterproof design,Is it waterproof?,It is not waterproof.
HP Laptop 3,HP,Laptop,Waterproof design,Is it waterproof?,It is not waterproof.
Apple Smartphone 7,Apple,Smartphone,"Long battery life, High-resolution display",What is the storage capacity?,It has a storage capacity of 128GB.
Dell Smartwatch 8,Dell,Smartwatch,"Large storage capacity, High-resolution display, Ultra-thin body",What is the battery life of this product?,It has a battery life of about 23 hours.
Huawei Smartwatch 4,Huawei,Smartwatch,"Large storage capacity, Waterproof design",What is the battery life of this product?,It has a battery life of about 12 hours.
Samsung Laptop 7,Samsung,Laptop,"Waterproof design, Large storage capacity, Long battery life",Is it waterproof?,It is waterproof.
HP Laptop 6,HP,Laptop,"Ultra-thin body, Large storage capacity",What is the battery life of this product?,It has a battery life of about 10 hours.
Apple Smartphone 2,Apple,Smartphone,"Long battery life, Powerful processor, Ultra-thin body",What is the storage capacity?,It has a storage capacity of 256GB.
Apple Tablet 3,Apple,Tablet,Long battery life,Does it support fast charging?,It does not support fast charging.
Lenovo Smartwatch 2,Lenovo,Smartwatch,Large storage capacity,Is it waterproof?,It is not waterproof.
Dell Laptop 6,Dell,Laptop,"Powerful processor, Ultra-thin body, High-resolution display",Is it waterproof?,It is waterproof.
Dell Tablet 8,Dell,Tablet,"High-resolution display, Large storage capacity, Waterproof design",Is it waterproof?,It is not waterproof.
Dell Tablet 8,Dell,Tablet,"Large storage capacity, Ultra-thin body",Does it support fast charging?,It does not support fast charging.
Dell Smartphone 4,Dell,Smartphone,"Large storage capacity, Waterproof design, Powerful processor",Does it support fast charging?,It does support fast charging.
Lenovo Laptop 8,Lenovo,Laptop,"Powerful processor, Long battery life, Waterproof design",What is the battery life of this product?,It has a battery life of about 22 hours.
Apple Smartwatch 9,Apple,Smartwatch,"High-resolution display, Ultra-thin body, Long battery life",What is the storage capacity?,It has a storage capacity of 128GB.
HP Tablet 10,HP,Tablet,"Ultra-thin body, Powerful processor, Long battery life",What is the battery life of this product?,It has a battery life of about 14 hours.
Lenovo Smartphone 10,Lenovo,Smartphone,"Waterproof design, Long battery life",What is the storage capacity?,It has a storage capacity of 64GB.
Lenovo Smartphone 4,Lenovo,Smartphone,Long battery life,Does it support fast charging?,It does not support fast charging.
Samsung Laptop 2,Samsung,Laptop,Ultra-thin body,What is the battery life of this product?,It has a battery life of about 20 hours.
Samsung Tablet 8,Samsung,Tablet,"Powerful processor, Ultra-thin body",Is it waterproof?,It is not waterproof.
Samsung Tablet 10,Samsung,Tablet,"Ultra-thin body, Long battery life, High-resolution display",Is it waterproof?,It is waterproof.
Huawei Smartphone 1,Huawei,Smartphone,"Powerful processor, Waterproof design, Large storage capacity",What is the storage capacity?,It has a storage capacity of 256GB.
Huawei Laptop 2,Huawei,Laptop,"Large storage capacity, High-resolution display",Does it support fast charging?,It does support fast charging.
HP Laptop 4,HP,Laptop,Powerful processor,Does it support fast charging?,It does support fast charging.
Samsung Tablet 1,Samsung,Tablet,Large storage capacity,Does it support fast charging?,It does not support fast charging.
Lenovo Smartphone 7,Lenovo,Smartphone,"Ultra-thin body, Long battery life, Powerful processor",Does it support fast charging?,It does not support fast charging.
HP Tablet 5,HP,Tablet,"Ultra-thin body, Waterproof design",What is the battery life of this product?,It has a battery life of about 21 hours.
HP Laptop 6,HP,Laptop,"Ultra-thin body, Waterproof design, Powerful processor",What is the storage capacity?,It has a storage capacity of 256GB.
Samsung Smartphone 5,Samsung,Smartphone,Long battery life,Is it waterproof?,It is waterproof.
HP Smartwatch 7,HP,Smartwatch,"Waterproof design, High-resolution display, Powerful processor",What is the storage capacity?,It has a storage capacity of 64GB.
Lenovo Smartwatch 7,Lenovo,Smartwatch,"Waterproof design, Powerful processor, Ultra-thin body",Does it support fast charging?,It does support fast charging.
Samsung Laptop 8,Samsung,Laptop,Powerful processor,What is the storage capacity?,It has a storage capacity of 256GB.
Dell Smartwatch 6,Dell,Smartwatch,Long battery life,Does it support fast charging?,It does not support fast charging.
Samsung Smartphone 8,Samsung,Smartphone,Long battery life,What is the storage capacity?,It has a storage capacity of 64GB.
HP Laptop 3,HP,Laptop,"Long battery life, Waterproof design, High-resolution display",Is it waterproof?,It is waterproof.
Huawei Laptop 4,Huawei,Laptop,"Powerful processor, Long battery life",Does it support fast charging?,It does support fast charging.
Dell Smartwatch 3,Dell,Smartwatch,"Waterproof design, Ultra-thin body, Large storage capacity",What is the battery life of this product?,It has a battery life of about 17 hours.
Apple Laptop 10,Apple,Laptop,"Waterproof design, Long battery life, Ultra-thin body",What is the storage capacity?,It has a storage capacity of 256GB.
HP Tablet 1,HP,Tablet,"High-resolution display, Large storage capacity",What is the storage capacity?,It has a storage capacity of 256GB.
HP Smartwatch 5,HP,Smartwatch,Long battery life,Is it waterproof?,It is not waterproof.
